	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
35	-182.82158607255624	-6.3724869558287	259.6984645664755	75.15565925496699	-407.1002050190635	5.745202542721383	575.2196551070496	-54.38361750166318	131.69721118998098	-572.9590855262999	-25.02291007034344	47.70980328489139	-746.0930742833333	336.6727912177774	460.33877854456256	-250.50221198736526	22.444014107706394	187.20978713302532	-108.51314704839314	-337.0308887634275
36	-198.45974253907366	-6.506414640338337	282.8978692088602	77.47292632732581	-461.35461554023505	5.80333095137402	598.8031011743866	-57.24494215247656	146.35091742551106	-625.6548013239995	-25.89849732673799	49.73034275594778	-827.0959554666669	372.53589762521034	493.7811463757692	-283.15721579872564	23.47578030028613	213.94530070070397	-120.11025675471528	-375.71221916147726
37	-191.15515697765701	-6.375174351228656	266.5480982644941	74.88435902413181	-428.58821276583274	5.706092641978698	579.9744622754205	-53.34583819023673	139.04785478695825	-561.7372686064002	-25.090490074391873	47.011901093702384	-773.1103688053335	352.5074433388788	452.04700040446164	-267.7968179917658	22.78661139037383	204.83662585092748	-112.64884234699173	-350.83761042250046
38	-187.50064242336066	-6.393343066707922	264.74381856332457	75.06732932395894	-392.18950671798416	5.8216573230660895	581.0072235354892	-55.532978777517656	138.246504119642	-555.2423727424	-25.378633441071912	48.81364475024971	-717.8384679573336	337.19696771860737	481.53715491215394	-255.08498169092366	22.937916128691036	193.24309037488933	-110.12810852758943	-342.5282483450283
39	-188.2398506697214	-6.4142142622751	267.1315970282823	75.90483919022698	-418.7674142067424	5.813562541749932	583.2185197458411	-55.14140980569977	145.21266434314506	-561.9548022724998	-25.75740773648363	48.86959052030521	-726.7890887833333	356.7774401308748	481.2731527312501	-265.3368001926864	23.254873892321914	202.6180592080456	-115.82487891931558	-346.8817673602755
40	-193.56207614160346	-6.388720896707266	266.7372875805428	74.90321556095151	-441.9222038214839	5.774930759954291	560.5132702743855	-54.954424096621835	143.72806829218067	-561.0433264430999	-25.719147290608266	48.41611302547631	-764.2430202940003	365.3175914007197	461.07000843383673	-262.03666090134664	22.957079149029752	205.71271470946473	-115.73290546863504	-369.856451430714
41	-187.1680279964124	-6.385688670329139	266.1397437416006	76.08348885839914	-429.5436593725592	5.761084220867484	581.3397391686348	-56.4301117139351	141.69624320610578	-588.4398419994	-25.17332944042141	48.977888028523694	-774.738216648	361.0279275142488	503.2434560920961	-276.85148385914226	22.920087787166057	210.22324913788054	-114.25064915384696	-350.5296290515145
42	-186.03364841221423	-6.403200049755402	273.48779621978974	74.67169811898911	-408.098108319312	5.778057099909255	573.7546254536213	-54.92198943100182	137.53284659239975	-569.1580202531	-25.627988467664434	48.309188182048594	-773.6865818079999	337.7886144382131	472.2842261105913	-264.4224270935891	23.059569387243155	201.8596760784227	-114.07023023355497	-345.82506047861455
43	-187.4705822809978	-6.383786973147089	259.7197638360929	72.2051127671357	-406.79613746533704	5.732437798016077	531.803209177327	-55.703034655759474	140.83589744460696	-540.8012264674502	-25.28056221755502	48.6213492353827	-709.706886561	348.7740065858417	478.534659502673	-253.0876274311686	22.82330369167631	200.45130854525232	-112.69445337235871	-358.777431521039
44	-182.01984933733308	-6.362253391416865	258.2277186372727	74.37646038742177	-375.94847609200025	5.868932613619974	572.2051864413958	-53.843238358458144	134.73845278713645	-537.3986659100002	-25.53208439571364	48.02441047071257	-712.6804522933334	326.7658348772422	474.34346895575004	-250.40339411441948	23.178939182946753	196.52927041678745	-108.80493126907457	-312.3653092209793
45	-182.16017343504154	-6.373193049206963	256.07162259545544	72.49695531037095	-383.99739883800453	5.71233313913636	534.2790523533437	-52.25971486873793	131.96449349353094	-537.5761307357999	-24.947910723374154	45.69810010965198	-706.9250893120001	305.5867206609021	420.51821816462484	-251.48356150363523	22.54943122278914	187.60082549814322	-107.61275695459054	-318.8802450680219
46	-191.20078436747707	-6.281232196299502	289.6618616132557	75.72914207847954	-401.2862946761085	5.936850829349743	576.4270399064199	-55.10960479620656	155.32407242588803	-529.4134117778001	-26.04672867679215	49.239162037937454	-679.7082652873333	362.87301921728556	498.0641761197598	-284.9563384090106	24.09653646738758	220.41711901397034	-118.79095871365206	-337.4076504359428
47	-187.44939255626002	-6.5430846744932785	277.8278372106866	77.26367096761395	-463.1043064768166	5.708521970823169	619.1269578553744	-57.405284874295006	134.05160010683431	-663.2021228003998	-25.32605043100512	48.98316030297555	-848.1719990160001	359.33334467577794	479.48642067703855	-274.6052570832763	22.55255956246489	192.97815866972073	-114.70354099143206	-363.32110450973164
48	-202.54403762080048	-6.527675357353693	289.1817875089424	78.35859271628772	-441.92545274792315	5.883735780796658	607.995892918322	-58.141169771799525	149.20319997216058	-617.0011148555998	-26.29522443226639	50.816161935095344	-735.5325472079999	370.2571690336268	518.5354630454999	-280.40149939940403	23.916811356710117	211.93121370290135	-119.11631016473612	-370.9684590191402
49	-182.33352123200925	-6.275499116289899	262.9761663791371	72.56419652281271	-351.0834719548371	5.84315738967278	535.9595287837309	-53.172525339383924	137.29472700997613	-487.799503884	-25.237178344981306	48.12769284781509	-593.45152146	325.0971927404672	471.05721404538446	-239.40396044356078	22.89848777965135	192.18244430393065	-109.35538709008821	-331.68067854771476
50	-160.59199052148634	-6.238035519397898	224.01427803512505	69.72195323756442	-336.5617431505295	5.6262247038490925	505.32279558706114	-49.907919350489216	118.03160062665036	-487.6732859134501	-23.867609880747292	44.01404538973372	-676.1018715749998	282.66807940542594	383.5268613719998	-217.57708417888298	21.39460533274091	164.04424584793088	-98.37099450590964	-281.71149678030133
